iter	Logloss
0	0.6879474489
1	0.6837298435
2	0.6791611456
3	0.6746682352
4	0.6712282545
5	0.6667034961
6	0.6624472154
7	0.6583716976
8	0.6566558162
9	0.6525921693
10	0.6479307433
11	0.6439500312
12	0.6412412796
13	0.6381545151
14	0.6341383195
15	0.6301405027
16	0.6263838566
17	0.6223864768
18	0.6191651104
19	0.6155076359
20	0.6123262918
21	0.6085511018
22	0.6064239115
23	0.6026892424
24	0.5988728067
25	0.5952419548
26	0.5916956574
27	0.5885980665
28	0.5850162105
29	0.5820917053
30	0.5791814579
31	0.5763965576
32	0.5736607385
33	0.5701429926
34	0.5680241273
35	0.5646324072
36	0.5616449564
37	0.5585809821
38	0.5554890637
39	0.5535466287
40	0.5503619793
41	0.5478781502
42	0.5456373191
43	0.5430082187
44	0.5414570309
45	0.5389419791
46	0.5363750623
47	0.5335242849
48	0.5306271488
49	0.5274900923
50	0.5244801994
51	0.5217155495
52	0.5194915387
53	0.5169499695
54	0.515275928
55	0.5129027755
56	0.5098196735
57	0.5080773717
58	0.5059862709
59	0.5036902572
60	0.5029382935
61	0.5007427798
62	0.498167166
63	0.4958181859
64	0.4938678953
65	0.4914892902
66	0.4901645899
67	0.4878000217
68	0.4853519042
69	0.4827067707
70	0.4804460593
71	0.4780796839
72	0.4764627974
73	0.4743057439
74	0.4722723365
75	0.4714716295
76	0.4691068058
77	0.467566718
78	0.4656689757
79	0.4632226542
80	0.4610111366
81	0.4588827379
82	0.457081018
83	0.4548985323
84	0.4531329586
85	0.4507435057
86	0.4489033597
87	0.4471330029
88	0.4452461258
89	0.443667406
90	0.4420692838
91	0.4402280361
92	0.4388144744
93	0.4372125291
94	0.4352283046
95	0.4346764328
96	0.4332895701
97	0.4318642808
98	0.43057023
99	0.429732571
100	0.4280427149
101	0.4265339855
102	0.425579355
103	0.4241012834
104	0.4229981526
105	0.4213635247
106	0.419583578
107	0.4180503108
108	0.4162868407
109	0.4148366961
110	0.412940281
111	0.4115107318
112	0.4099275884
113	0.4088935803
114	0.4071300426
115	0.4057218891
116	0.4043893496
117	0.4030358599
118	0.4013443789
119	0.3999698044
120	0.3985223778
121	0.3975351992
122	0.3959917054
123	0.3946008372
124	0.3943403504
125	0.3933545799
126	0.392175269
127	0.3909859007
128	0.3904274318
129	0.3891759564
130	0.3886700679
131	0.3875424002
132	0.3862978323
133	0.3850875913
134	0.3839091944
135	0.3831423918
136	0.3822851826
137	0.3812730413
138	0.3799718303
139	0.3788209314
140	0.3775923986
141	0.376907758
142	0.3754157471
143	0.3742581222
144	0.3732718552
145	0.3726311654
146	0.3716320876
147	0.3708813237
148	0.3699520477
149	0.3691555092
150	0.3685308138
151	0.3673545068
152	0.3664993176
153	0.36536126
154	0.3643909897
155	0.3634082764
156	0.3624079905
157	0.3613701877
158	0.3601912583
159	0.3591037284
160	0.3580021745
161	0.3571312992
162	0.3569161808
163	0.3560435979
164	0.3558869886
165	0.3553330975
166	0.3544256246
167	0.3535348064
168	0.3529126038
169	0.3518346016
170	0.351071921
171	0.350340173
172	0.349331041
173	0.3485581631
174	0.3479578158
175	0.3466952522
176	0.3462304581
177	0.3454497304
178	0.344635563
179	0.343747636
180	0.3429613323
181	0.3421648849
182	0.3411626853
183	0.3404822872
184	0.3399217749
185	0.3392126895
186	0.3385937142
187	0.3381995734
188	0.3374254376
189	0.3365978724
190	0.3357614557
191	0.3350104197
192	0.3344123078
193	0.3336499058
194	0.3327425068
195	0.3317987155
196	0.3308852312
197	0.3303075755
198	0.3292410186
199	0.3286008022
200	0.3279515372
201	0.3270922892
202	0.3261872611
203	0.3253809773
204	0.3248128608
205	0.3241040426
206	0.3235037827
207	0.3229593716
208	0.3223163434
209	0.3215154752
210	0.3209243148
211	0.3201561767
212	0.3193306827
213	0.3188371373
214	0.3182975384
215	0.3176980228
216	0.3172943688
217	0.3165476068
218	0.3160911941
219	0.3154175299
220	0.3147866265
221	0.31433426
222	0.3136520275
223	0.3130548308
224	0.3123370862
225	0.3118039266
226	0.3112105776
227	0.3106424946
228	0.3101597768
229	0.3096689823
230	0.3088476894
231	0.3083963158
232	0.308044623
233	0.3074289082
234	0.3068118541
235	0.3060840198
236	0.3056357037
237	0.3049045656
238	0.3042932643
239	0.3038467102
240	0.3033884054
241	0.3028370174
242	0.3020598071
243	0.3015695347
244	0.3009513868
245	0.3004320949
246	0.2999875078
247	0.2991715822
248	0.2987594097
249	0.2979683891
250	0.297602322
251	0.2968916317
252	0.2966994786
253	0.2960238102
254	0.2955813423
255	0.2953552032
256	0.2948576448
257	0.2944116563
258	0.2938266929
259	0.2932082267
260	0.2925392995
261	0.292056997
262	0.2917690124
263	0.2913661299
264	0.2907022858
265	0.290131861
266	0.28976036
267	0.2890652911
268	0.288658511
269	0.2880618823
270	0.2876032079
271	0.2869154609
272	0.2867443197
273	0.2864660192
274	0.2861647217
275	0.2855692476
276	0.2850415741
277	0.2845491732
278	0.284092383
279	0.283681302
280	0.2830833763
281	0.2824038385
282	0.2820480707
283	0.2817379246
284	0.281202399
285	0.2809825313
286	0.2803219291
287	0.28013943
288	0.2797420759
289	0.2792496489
290	0.278671908
